doc_id	court_code	judgment_code	justice_kind	category_code	cause_num	adjudication_date	receipt_date	judge	doc_url	status	date_publ
86740284	1308	2	4	40178	444/2403/19	"2019-12-17 00:00:00+02"	"2020-01-01 00:00:00+02"	"Зеліско Р. Й."	http://od.reyestr.court.gov.ua/files/43/d3964a6dfd24e7f4a44f80c8599f73f3.rtf	1	"2020-01-02 00:00:00+02"
86740017	0814	5	1	40394	334/8674/19	"2019-12-21 00:00:00+02"	"2020-01-01 00:00:00+02"	"Ісаков Д. О."	http://od.reyestr.court.gov.ua/files/43/aeccd8f71c3690184d1eb00efeae9dd3.rtf	1	"2020-01-02 00:00:00+02"
86740030	1313	2	5	41010	447/2882/19	"2019-12-27 00:00:00+02"	"2020-01-01 00:00:00+02"	"Карбовнік І. М."	http://od.reyestr.court.gov.ua/files/43/4f99c8b9347311bec7aa9b6e65779713.rtf	1	"2020-01-02 00:00:00+02"
86740052	0527	2	5	41147	233/8960/19	"2019-12-27 00:00:00+02"	"2020-01-01 00:00:00+02"	"Міросєді А. І."	http://od.reyestr.court.gov.ua/files/43/2ca63e48b4aa2ec80409df778ed8f9e3.rtf	1	"2020-01-02 00:00:00+02"
86740053	1314	2	5	41090	448/852/19	"2019-09-09 00:00:00+03"	"2020-01-01 00:00:00+02"	"Кічак Ю. В."	http://od.reyestr.court.gov.ua/files/43/4125ceacc4f908d767650f195f4671df.rtf	1	"2020-01-02 00:00:00+02"
86740091	0708	5	1	41462	304/379/18	"2019-12-23 00:00:00+02"	"2020-01-01 00:00:00+02"	"Ганько І. І."	http://od.reyestr.court.gov.ua/files/43/89fed2dba8a83f0904027990d48075b5.rtf	1	"2020-01-02 00:00:00+02"
86740104	0708	2	5	41133	304/2039/19	"2019-12-30 00:00:00+02"	"2020-01-01 00:00:00+02"	"Ганько І. І."	http://od.reyestr.court.gov.ua/files/43/063834b1d627d0c09c06002bb412ba00.rtf	1	"2020-01-02 00:00:00+02"
86740113	0709	5	1	40373	305/1939/19	"2019-10-25 00:00:00+03"	"2020-01-01 00:00:00+02"	"Бліщ О. Б."	http://od.reyestr.court.gov.ua/files/43/b1a8c9b68eb5f15808229fe774dbb1c0.rtf	1	"2020-01-02 00:00:00+02"
86740127	0713	2	5	41080	309/3690/19	"2019-12-24 00:00:00+02"	"2020-01-01 00:00:00+02"	"Довжанин М. М."	http://od.reyestr.court.gov.ua/files/43/fac178ca20d41d88a699d8ef1948a0e2.rtf	1	"2020-01-02 00:00:00+02"
86740131	0713	2	5	41289	309/3379/19	"2019-12-24 00:00:00+02"	"2020-01-01 00:00:00+02"	"Довжанин М. М."	http://od.reyestr.court.gov.ua/files/43/562d8c5348253c01d1027ad09aa7956c.rtf	1	"2020-01-02 00:00:00+02"
